env_id,episode_num,initial_height,max_height,climb_height,steps,terminated,success
29,0,0.5036017894744873,2.2591843605041504,1.755582571029663,1000,False,True
30,0,0.5047922730445862,2.281975269317627,1.7771829962730408,1000,False,True
31,0,0.4973289370536804,2.2353103160858154,1.737981379032135,1000,False,True
32,0,0.5029838681221008,2.2729058265686035,1.7699219584465027,1000,False,True
33,0,0.5051045417785645,2.293513536453247,1.7884089946746826,1000,False,True
35,0,0.5026443004608154,2.2710964679718018,1.7684521675109863,1000,False,True
36,0,0.4913273751735687,2.2491183280944824,1.7577909529209137,1000,False,True
37,0,0.5000323057174683,2.300961494445801,1.8009291887283325,1000,False,True
39,0,0.4878360331058502,2.2721152305603027,1.7842791974544525,1000,False,True
40,0,0.4870331287384033,2.2472941875457764,1.760261058807373,1000,False,True
42,0,0.4896244406700134,2.274841785430908,1.7852173447608948,1000,False,True
43,0,0.5084366798400879,2.2943012714385986,1.7858645915985107,1000,False,True
44,0,0.49908509850502014,2.262219190597534,1.763134092092514,1000,False,True
45,0,0.48865050077438354,2.281470537185669,1.7928200364112854,1000,False,True
47,0,0.5023491382598877,2.2375645637512207,1.735215425491333,1000,False,True
48,0,0.49327656626701355,2.2767398357391357,1.7834632694721222,1000,False,True
50,0,0.49626222252845764,2.256284236907959,1.7600220143795013,1000,False,True
51,0,0.4985021948814392,2.2118849754333496,1.7133827805519104,1000,False,True
52,0,0.4933120310306549,2.2051162719726562,1.7118042409420013,1000,False,True
53,0,0.4857947528362274,2.2258682250976562,1.7400734722614288,1000,False,True
54,0,0.4892231822013855,2.23563289642334,1.7464097142219543,1000,False,True
55,0,0.50096195936203,2.22017240524292,1.71921044588089,1000,False,True
56,0,0.503353476524353,2.2812297344207764,1.7778762578964233,1000,False,True
57,0,0.4938274621963501,2.2203569412231445,1.7265294790267944,1000,False,True
58,0,0.5012734532356262,2.2734057903289795,1.7721323370933533,1000,False,True
59,0,0.49493974447250366,2.221217632293701,1.7262778878211975,1000,False,True
61,0,0.4955451488494873,2.248769998550415,1.7532248497009277,1000,False,True
64,0,0.4982825815677643,2.280942678451538,1.7826600968837738,1000,False,True
65,0,0.4949841797351837,2.2509872913360596,1.7560031116008759,1000,False,True
66,0,0.49157053232192993,2.2148373126983643,1.7232667803764343,1000,False,True
67,0,0.5037477016448975,2.279893636703491,1.7761459350585938,1000,False,True
68,0,0.49533841013908386,0.49533841013908386,0.0,1000,False,False
69,0,0.4924038052558899,2.244710922241211,1.752307116985321,1000,False,True
70,0,0.4899686872959137,2.2325048446655273,1.7425361573696136,1000,False,True
71,0,0.4875451326370239,2.2124319076538086,1.7248867750167847,1000,False,True
72,0,0.4957226514816284,2.261775016784668,1.7660523653030396,1000,False,True
73,0,0.49317675828933716,2.2553393840789795,1.7621626257896423,1000,False,True
74,0,0.49938705563545227,2.2515532970428467,1.7521662414073944,1000,False,True
75,0,0.4960298240184784,2.222872018814087,1.7268421947956085,1000,False,True
76,0,0.5048410892486572,2.2322351932525635,1.7273941040039062,1000,False,True
77,0,0.4885256290435791,2.302539825439453,1.814014196395874,1000,False,True
81,0,0.5019053220748901,2.2583229541778564,1.7564176321029663,1000,False,True
82,0,0.5016942620277405,2.2081074714660645,1.706413209438324,1000,False,True
84,0,0.5045021772384644,2.2113425731658936,1.7068403959274292,1000,False,True
85,0,0.4919140338897705,2.286386251449585,1.7944722175598145,1000,False,True
87,0,0.49396729469299316,2.284379720687866,1.790412425994873,1000,False,True
89,0,0.4999527335166931,2.2670254707336426,1.7670727372169495,1000,False,True
90,0,0.4939771592617035,2.207012891769409,1.7130357325077057,1000,False,True
